No,CabaiMerahKeriting
1,56550
2,53200
3,48800
4,40450
5,58600
6,63200
7,53800
8,58750
9,55300
10,49500
11,54400
12,54650
13,54200
14,54000
15,51750
16,48000
17,39000
18,38400
19,53150
20,32100
21,27650
22,27300
23,26550
24,24200
25,24950
26,26850
27,25500
28,24750
29,32150
30,28150
31,26200
32,25300
33,22300
34,21200
35,20800
36,21400
37,22550
38,24300
39,28100
40,33950
41,36200
42,34400
43,33450
44,43200
45,48650
46,45650
47,48950
48,45150
49,49200
50,49450
51,42550
52,40400
53,37700
54,27600
55,32950
56,31750
57,29800
58,33200
59,35350
60,41750
61,49600
62,50800
63,49550
64,45200
65,42750
66,51500
67,34750
68,35600
69,48200
70,38150
71,45050
72,47750
73,59550
74,70550
75,82300
76,89700
77,85950
78,94000
79,102750
80,94500
81,79100
82,73500
83,71700
84,64700
85,60850
86,61100
87,79250
88,69750
89,64750
90,53500
91,54000
92,61100
93,50000
94,44400
95,41150
96,34750
97,34150
98,32800
99,34400
100,37850
101,38900
102,35550
103,36650
104,49000
105,46950
106,43500
107,44450
108,47500
109,47250
110,45350
111,53750
112,42900
113,42500
114,39850
115,45200
116,39050
117,34400
118,34650
119,44700
120,41650
121,32300
122,32600
123,32750
124,33500
125,32950
126,33000
127,32250
128,32250
129,41700
130,41750
131,34650
132,32900
133,35450
134,36250
135,35950
136,39050
137,42900
138,47350
139,38250
