t,Yt,Y(t-1),Xt
1,5.642000198,,5.644000053
2,5.460000038,5.642000198,5.679999828
3,5.271999836,5.460000038,5.389999866
4,5.225999832,5.271999836,5.262000084
5,5.340000153,5.225999832,5.150000095
6,5.671999931,5.340000153,5.340000153
7,5.785999775,5.671999931,5.71999979
8,5.900000095,5.785999775,5.676000118
9,5.78399992,5.900000095,5.93599987
10,5.771999836,5.78399992,5.78000021
11,6.823999882,5.771999836,5.846000195
12,7.645999908,6.823999882,6.788000107
13,7.676000118,7.645999908,7.702000141
14,7.355999947,7.676000118,7.576000214
15,7.262000084,7.355999947,7.199999809
16,7.912000179,7.262000084,7.400000095
17,7.843999863,7.912000179,7.877999783
18,7.938000202,7.843999863,7.800000191
19,7.745999813,7.938000202,7.800000191
20,7.723999977,7.745999813,7.777999878
21,8.329999924,7.723999977,7.947999954
22,8.852000237,8.329999924,8.449999809
23,8.739999771,8.852000237,8.850000381
24,8.43599987,8.739999771,8.736000061
25,8.486000061,8.43599987,8.420000076
26,8.057999611,8.486000061,8.373999596
27,8.220000267,8.057999611,8.06400013
28,8.25,8.220000267,8.086000443
29,8.131999969,8.25,8.199999809
30,8.562000275,8.131999969,8.192000389
31,8.479999542,8.562000275,8.5
32,8.602000237,8.479999542,8.43200016
33,8.857999802,8.602000237,8.640000343
34,8.949999809,8.857999802,8.871999741
35,8.779999733,8.949999809,8.942000389
36,8.619999886,8.779999733,8.911999702
37,8.74600029,8.619999886,8.616000175
38,8.713999748,8.74600029,8.760000229
39,8.284000397,8.713999748,8.5
40,8.142000198,8.284000397,8.199999809
41,7.840000153,8.142000198,7.78000021
42,7.837999821,7.840000153,7.81799984
43,8.199999809,7.837999821,7.84800005
44,8.345999718,8.199999809,8.220000267
45,8.319999695,8.345999718,8.42800045
46,8.31400013,8.319999695,8.371999741
47,8.286000252,8.31400013,8.32199955
48,8.25,8.286000252,8.25399971
49,8.105999947,8.25,8.328000069
50,8.729999542,8.105999947,8.142000198
51,8.850000381,8.729999542,8.784000397
52,8.881999969,8.850000381,8.88599968
53,8.725999832,8.881999969,8.979999542
54,8.63599968,8.725999832,8.663999557
55,8.82199955,8.63599968,8.739999771
56,8.701999664,8.82199955,8.859999657
57,8.862000465,8.701999664,8.699999809
58,8.652000427,8.862000465,8.819999695
59,8.671999931,8.652000427,8.576000214
60,8.631999969,8.671999931,8.710000038
61,8.845999718,8.631999969,8.723999977
62,8.569999695,8.845999718,8.859999657
63,8.451999664,8.569999695,8.5
64,8.300000191,8.451999664,8.517999649
65,8.451999664,8.300000191,8.25
66,8.522000313,8.451999664,8.423999786
67,8.371999741,8.522000313,8.340000153
68,8.121999741,8.371999741,8.279999733
69,7.980000019,8.121999741,8.170000076
70,8.17800045,7.980000019,8.093999863
71,8.576000214,8.17800045,8.312000275
72,8.600000381,8.576000214,8.609999657
73,8.711999893,8.600000381,8.619999886
74,8.847999573,8.711999893,8.751999855
75,8.795999527,8.847999573,8.878000259
76,8.878000259,8.795999527,8.812000275
77,8.777999878,8.878000259,8.862000465
78,8.873999596,8.777999878,8.739999771
79,9.359999657,8.873999596,8.970000267
80,9.416000366,9.359999657,9.399999619
81,9.456000328,9.416000366,9.399999619
82,9.56000042,9.456000328,9.5
83,9.93999958,9.56000042,9.486000061
84,10.14999962,9.93999958,9.909999847
85,10.14500046,10.14999962,10.18999958
86,10.31999969,10.14500046,10.22500038
87,10.61999989,10.31999969,10.34500027
88,10.41499996,10.61999989,10.42500019
89,10.70499992,10.41499996,10.52000046
90,10.67000008,10.70499992,10.53999996
91,10.85999966,10.67000008,10.60000038
