No,Harga Cabai Merah Keriting (Rp)
1,"56,550"
2,"53,200"
3,"48,800"
4,"40,450"
5,"58,600"
6,"63,200"
7,"53,800"
8,"58,750"
9,"55,300"
10,"49,500"
11,"54,400"
12,"54,650"
13,"54,200"
14,"54,000"
15,"51,750"
16,"48,000"
17,"39,000"
18,"38,400"
19,"53,150"
20,"32,100"
21,"27,650"
22,"27,300"
23,"26,550"
24,"24,200"
25,"24,950"
26,"26,850"
27,"25,500"
28,"24,750"
29,"32,150"
30,"28,150"
31,"26,200"
32,"25,300"
33,"22,300"
34,"21,200"
35,"20,800"
36,"21,400"
37,"22,550"
38,"24,300"
39,"28,100"
40,"33,950"
41,"36,200"
42,"34,400"
43,"33,450"
44,"43,200"
45,"48,650"
46,"45,650"
47,"48,950"
48,"45,150"
49,"49,200"
50,"49,450"
51,"42,550"
52,"40,400"
53,"37,700"
54,"27,600"
55,"32,950"
56,"31,750"
57,"29,800"
58,"33,200"
59,"35,350"
60,"41,750"
61,"49,600"
62,"50,800"
63,"49,550"
64,"45,200"
65,"42,750"
66,"51,500"
67,"34,750"
68,"35,600"
69,"48,200"
71,"38,150"
72,"45,050"
73,"47,750"
74,"59,550"
75,"70,550"
76,"82,300"
77,"89,700"
78,"85,950"
79,"94,000"
80,"102,750"
81,"94,500"
82,"79,100"
83,"73,500"
84,"71,700"
85,"64,700"
86,"60,850"
87,"61,100"
88,"79,250"
89,"69,750"
90,"64,750"
91,"53,500"
92,"54,000"
93,"61,100"
94,"50,000"
95,"44,400"
96,"41,150"
97,"34,750"
98,"34,150"
99,"32,800"
100,"34,400"
101,"37,850"
102,"38,900"
103,"35,550"
104,"36,650"
105,"49,000"
106,"46,950"
107,"43,500"
108,"44,450"
109,"47,500"
110,"47,250"
111,"45,350"
112,"53,750"
113,"42,900"
114,"42,500"
115,"39,850"
116,"45,200"
117,"39,050"
118,"34,400"
119,"34,650"
120,"44,700"
121,"41,650"
122,"32,300"
123,"32,600"
124,"32,750"
125,"33,500"
126,"32,950"
127,"33,000"
128,"32,250"
129,"32,250"
130,"41,700"
131,"41,750"
132,"34,650"
133,"32,900"
134,"35,450"
135,"36,250"
136,"35,950"
137,"39,050"
138,"42,900"
139,"47,350"
140,"38,250"
